estrutura,entrada,n,tipo_execucao,execucao,tempo_construcao
BST,ordenada,1000,aquecimento_descartado,0,0.024090943000032894
BST,ordenada,1000,valida,1,0.02906189500004075
BST,ordenada,1000,valida,2,0.023109508000061396
BST,ordenada,1000,valida,3,0.025677442999949562
AVL,ordenada,1000,aquecimento_descartado,0,0.003539065000040864
AVL,ordenada,1000,valida,1,0.0034924650000220936
AVL,ordenada,1000,valida,2,0.0033450920000177575
AVL,ordenada,1000,valida,3,0.0032405130000370264
BST,aleatoria,1000,aquecimento_descartado,0,0.0005743189999520837
BST,aleatoria,1000,valida,1,0.0006276199999319942
BST,aleatoria,1000,valida,2,0.0006095620000223789
BST,aleatoria,1000,valida,3,0.0005835929999875589
AVL,aleatoria,1000,aquecimento_descartado,0,0.0052309550000018135
AVL,aleatoria,1000,valida,1,0.0058105020000311924
AVL,aleatoria,1000,valida,2,0.0031053389999442516
AVL,aleatoria,1000,valida,3,0.003048923000051218
BST,ordenada,2000,aquecimento_descartado,0,0.09658720999993875
BST,ordenada,2000,valida,1,0.09627684800000225
BST,ordenada,2000,valida,2,0.09388230599995495
BST,ordenada,2000,valida,3,0.0919408879999537
AVL,ordenada,2000,aquecimento_descartado,0,0.007083899000008387
AVL,ordenada,2000,valida,1,0.00709879099997579
AVL,ordenada,2000,valida,2,0.007027423999943494
AVL,ordenada,2000,valida,3,0.00701148899997861
BST,aleatoria,2000,aquecimento_descartado,0,0.0013112340000134282
BST,aleatoria,2000,valida,1,0.0013605179999558459
BST,aleatoria,2000,valida,2,0.0014170240000339618
BST,aleatoria,2000,valida,3,0.0014669400000002497
AVL,aleatoria,2000,aquecimento_descartado,0,0.04717134600002737
AVL,aleatoria,2000,valida,1,0.006893601000001581
AVL,aleatoria,2000,valida,2,0.006915644999935466
AVL,aleatoria,2000,valida,3,0.006997948000048382
BST,ordenada,4000,aquecimento_descartado,0,0.3740264200000638
BST,ordenada,4000,valida,1,0.3956408150000925
BST,ordenada,4000,valida,2,0.3807102239999267
BST,ordenada,4000,valida,3,0.37089617300000555
AVL,ordenada,4000,aquecimento_descartado,0,0.01578890999996929
AVL,ordenada,4000,valida,1,0.015479191999929753
AVL,ordenada,4000,valida,2,0.015050845000018853
AVL,ordenada,4000,valida,3,0.01561387599997488
BST,aleatoria,4000,aquecimento_descartado,0,0.0028888320000532985
BST,aleatoria,4000,valida,1,0.0029459180000230845
BST,aleatoria,4000,valida,2,0.002822951999974066
BST,aleatoria,4000,valida,3,0.0028971839999485383
AVL,aleatoria,4000,aquecimento_descartado,0,0.015356064999991759
AVL,aleatoria,4000,valida,1,0.01522031000001789
AVL,aleatoria,4000,valida,2,0.019863777000068694
AVL,aleatoria,4000,valida,3,0.015366590999974505
BST,ordenada,8000,aquecimento_descartado,0,1.5055360879999853
BST,ordenada,8000,valida,1,1.4865639000000783
BST,ordenada,8000,valida,2,1.4913639630000262
BST,ordenada,8000,valida,3,1.5144355920000407
AVL,ordenada,8000,aquecimento_descartado,0,0.03776308099998005
AVL,ordenada,8000,valida,1,0.036031050000019604
AVL,ordenada,8000,valida,2,0.034337227000037274
AVL,ordenada,8000,valida,3,0.03502587900004528
BST,aleatoria,8000,aquecimento_descartado,0,0.007293676000017513
BST,aleatoria,8000,valida,1,0.008635876999960601
BST,aleatoria,8000,valida,2,0.007115916999964611
BST,aleatoria,8000,valida,3,0.00686144200005856
AVL,aleatoria,8000,aquecimento_descartado,0,0.03337636300000213
AVL,aleatoria,8000,valida,1,0.037861840999994456
AVL,aleatoria,8000,valida,2,0.03457561800007625
AVL,aleatoria,8000,valida,3,0.03394072799994774
BST,ordenada,16000,aquecimento_descartado,0,5.969666543000017
BST,ordenada,16000,valida,1,6.078182587000015
BST,ordenada,16000,valida,2,6.255955239000059
BST,ordenada,16000,valida,3,6.093280381999989
AVL,ordenada,16000,aquecimento_descartado,0,0.07258471600005123
AVL,ordenada,16000,valida,1,0.071735977000003
AVL,ordenada,16000,valida,2,0.12260913500006154
AVL,ordenada,16000,valida,3,0.07282549599995036
BST,aleatoria,16000,aquecimento_descartado,0,0.014592519999951037
BST,aleatoria,16000,valida,1,0.01575950599999487
BST,aleatoria,16000,valida,2,0.01564331999998103
BST,aleatoria,16000,valida,3,0.015924706000078004
AVL,aleatoria,16000,aquecimento_descartado,0,0.07238536900001691
AVL,aleatoria,16000,valida,1,0.07230552800001533
AVL,aleatoria,16000,valida,2,0.07155188800004453
AVL,aleatoria,16000,valida,3,0.07162431800009017
