estrutura,entrada,n,altura,tempo_construcao,tempo_buscas
BST,ordenada,4000,4000,0.19273450001492165,0.17063180002151057
AVL,ordenada,4000,12,0.010481400007847697,0.0011023000115528703
BST,aleatoria,4000,25,0.0017125000013038516,0.0015970999957062304
AVL,aleatoria,4000,15,0.01416109999991022,0.0014227000065147877
BST,ordenada,8000,8000,0.8107656000065617,0.8938418000179809
AVL,ordenada,8000,13,0.031151499977568164,0.004363800020655617
BST,aleatoria,8000,27,0.004328200011514127,0.003589200001442805
AVL,aleatoria,8000,16,0.028538300015497953,0.0031821999873500317
BST,ordenada,16000,16000,3.2158804000064265,2.7676807999960147
AVL,ordenada,16000,14,0.053999299998395145,0.005281200021272525
BST,aleatoria,16000,29,0.00958310000714846,0.007554000010713935
AVL,aleatoria,16000,17,0.05042189999949187,0.006110300018917769
BST,ordenada,32000,32000,12.392973299982259,10.795233199984068
AVL,ordenada,32000,15,0.10458949999883771,0.011450999998487532
BST,aleatoria,32000,40,0.020255399984307587,0.01778349999221973
AVL,aleatoria,32000,18,0.11361530001158826,0.013383699988480657
